"","name","longitude","latitude","sample","event","year","month","day","time","country","state","county"
"107","Passerella iliaca",-61.746254,47.4782322,"L3184526","S20717988",1985,7,190,0,"Canada","Quebec","Les Îles-de-la-Madeleine"
"108","Passerella iliaca",-61.746254,47.4782322,"L3184526","S20718208",1985,7,192,0,"Canada","Quebec","Les Îles-de-la-Madeleine"
"109","Passerella iliaca",-68.1503391,49.218382,"L3312235","S22173613",1985,7,205,5.5,"Canada","Quebec","Manicouagan"
"110","Passerella iliaca",-68.1771076,49.2373976,"L3459203","S22195570",1985,7,199,5,"Canada","Quebec","Manicouagan"
"111","Passerella iliaca",-66.9872046,48.7042604,"L4684755","S30142837",1985,7,194,11,"Canada","Quebec","La Matanie"
"112","Passerella iliaca",-66.7825842,48.6853378,"L4684795","S30143057",1985,7,194,4.5,"Canada","Quebec","La Matanie"
"113","Passerella iliaca",-66.19556,48.92139,"L343760","S30219272",1985,7,195,7,"Canada","Quebec","La Haute-Gaspésie"
"114","Passerella iliaca",-64.159543,48.4901476,"L295795","S30535199",1985,7,199,9,"Canada","Quebec","Le Rocher-Percé"
"115","Passerella iliaca",-68.1503391,49.218382,"L3312235","S22255623",1986,7,193,8.5,"Canada","Quebec","Manicouagan"
"116","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255883",1986,6,155,7,"Canada","Quebec","Les Îles-de-la-Madeleine"
"117","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255884",1986,6,156,10,"Canada","Quebec","Les Îles-de-la-Madeleine"
"118","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255885",1986,6,158,5.75,"Canada","Quebec","Les Îles-de-la-Madeleine"
"119","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255887",1986,6,161,9,"Canada","Quebec","Les Îles-de-la-Madeleine"
"120","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255888",1986,6,162,10,"Canada","Quebec","Les Îles-de-la-Madeleine"
"121","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255891",1986,6,163,6.5,"Canada","Quebec","Les Îles-de-la-Madeleine"
"122","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255894",1986,6,167,6,"Canada","Quebec","Les Îles-de-la-Madeleine"
"123","Passerella iliaca",-61.4685917,47.6183141,"L3469273","S22255895",1986,6,169,8,"Canada","Quebec","Les Îles-de-la-Madeleine"
"124","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255896",1986,6,169,6,"Canada","Quebec","Les Îles-de-la-Madeleine"
"125","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255897",1986,6,170,6,"Canada","Quebec","Les Îles-de-la-Madeleine"
"126","Passerella iliaca",-68.3487797,49.3189462,"L3042069","S22255898",1986,7,185,14,"Canada","Quebec","Manicouagan"
"127","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255929",1986,6,153,6.5,"Canada","Quebec","Les Îles-de-la-Madeleine"
"128","Passerella iliaca",-61.527558,47.557772,"L3043850","S22255930",1986,6,154,8,"Canada","Quebec","Les Îles-de-la-Madeleine"
"129","Passerella iliaca",-68.6592293,48.9527192,"L3469780","S22260122",1986,7,182,9,"Canada","Quebec","Manicouagan"
"130","Passerella iliaca",-68.8032103,48.3546124,"L327992","S6876253",1987,7,193,8,"Canada","Quebec","Rimouski-Neigette"
"131","Passerella iliaca",-59.3261719,50.5727717,"L3353333","S21775490",1989,7,189,8,"Canada","Quebec","Le Golfe-du-Saint-Laurent"
"132","Passerella iliaca",-63.2936096,49.5782548,"L3354542","S21775769",1989,7,191,8,"Canada","Quebec","Minganie"
"133","Passerella iliaca",-63.2936096,49.5782548,"L3354542","S21775835",1989,7,192,8,"Canada","Quebec","Minganie"
"134","Passerella iliaca",-63.2936096,49.5782548,"L3354542","S21775950",1989,7,193,8,"Canada","Quebec","Minganie"
"135","Passerella iliaca",-63.1624013,50.2289327,"L993222","S21783743",1989,7,194,9,"Canada","Quebec","Minganie"
"136","Passerella iliaca",-68.4585786,49.0747936,"L3484753","S22327804",1989,6,161,6.5,"Canada","Quebec","Manicouagan"
"137","Passerella iliaca",-64.0253377,50.2905457,"L3484743","S22327805",1989,7,188,7.5,"Canada","Quebec","Minganie"
"138","Passerella iliaca",-62.9444633,49.4557926,"L5055359","S32465795",1989,7,207,7.5,"Canada","Quebec","Minganie"
"139","Passerella iliaca",-62.9444633,49.4557926,"L5055359","S32466077",1989,7,208,7.5,"Canada","Quebec","Minganie"
"140","Passerella iliaca",-61.527558,47.557772,"L3043850","S22413847",1991,7,182,13,"Canada","Quebec","Les Îles-de-la-Madeleine"
"141","Passerella iliaca",-61.527558,47.557772,"L3043850","S22413848",1991,7,183,11,"Canada","Quebec","Les Îles-de-la-Madeleine"
"142","Passerella iliaca",-61.527558,47.557772,"L3043850","S22413858",1991,6,177,7,"Canada","Quebec","Les Îles-de-la-Madeleine"
"143","Passerella iliaca",-61.527558,47.557772,"L3043850","S22413859",1991,6,179,14,"Canada","Quebec","Les Îles-de-la-Madeleine"
"144","Passerella iliaca",-61.527558,47.557772,"L3043850","S22413862",1991,7,184,11,"Canada","Quebec","Les Îles-de-la-Madeleine"
"145","Passerella iliaca",-60.3722763,46.6562115,"L954409","S11982270",1992,6,176,8,"Canada","Nova Scotia","Victoria"
"146","Passerella iliaca",-64.159543,48.4901476,"L295795","S25859976",1992,7,202,10,"Canada","Quebec","Le Rocher-Percé"
"147","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6518532",1992,6,181,9.5,"Canada","Quebec","La Côte-de-Beaupré"
"148","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6518535",1992,7,184,5.5,"Canada","Quebec","La Côte-de-Beaupré"
"149","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6518537",1992,7,189,5.5,"Canada","Quebec","La Côte-de-Beaupré"
"150","Passerella iliaca",-69.4332504,48.028509,"L2103096","S22403673",1993,6,156,5.5,"Canada","Quebec","Rivière-du-Loup"
"151","Passerella iliaca",-68.6466551,48.9097518,"L3529096","S22618545",1993,7,192,10.5,"Canada","Quebec","La Haute-Côte-Nord"
"152","Passerella iliaca",-68.1771076,49.2373976,"L3459203","S22618549",1993,6,156,8.5,"Canada","Quebec","Manicouagan"
"153","Passerella iliaca",-63.1624013,50.2289327,"L993222","S15319863",1995,6,167,9,"Canada","Quebec","Minganie"
"154","Passerella iliaca",-69.4332504,48.028509,"L2103096","S22375567",1995,6,154,8,"Canada","Quebec","Rivière-du-Loup"
"155","Passerella iliaca",-69.4332504,48.028509,"L2103096","S22375686",1995,6,155,7.75,"Canada","Quebec","Rivière-du-Loup"
"156","Passerella iliaca",-68.4725046,49.4052768,"L3546589","S22689427",1995,6,169,4,"Canada","Quebec","Manicouagan"
"157","Passerella iliaca",-68.8032103,48.3546124,"L327992","S22689429",1995,6,179,17.5,"Canada","Quebec","Rimouski-Neigette"
