name,longitude,latitude
Passerella iliaca,-61.8362045,47.21916
Passerella iliaca,-77.46667,53.16667
Passerella iliaca,-61.76667,47.46667
Passerella iliaca,-61.9655085,47.2396651
Passerella iliaca,-77.4652004,51.1854764
Passerella iliaca,-59.66667,51.63333
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-71.06837,47.34159
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-61.8872094,47.3518432
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-64.6051025,48.8945182
Passerella iliaca,-63.138727,49.566752
Passerella iliaca,-70.46845,54.434902
Passerella iliaca,-61.527558,47.557772
Passerella iliaca,-64.21667,48.53333
Passerella iliaca,-70.7835388,48.006268
Passerella iliaca,-72.08445,47.080418
Passerella iliaca,-65.9,48.4
Passerella iliaca,-61.9083452,47.3788245
Passerella iliaca,-64.21667,48.53333
Passerella iliaca,-70.91667,49.93333
Passerella iliaca,-66.1197,48.9463
Passerella iliaca,-61.8735543,47.3848396
Passerella iliaca,-68.78333,48.28333
Passerella iliaca,-71.51865,54.170723
Passerella iliaca,-68.1,49.33333
Passerella iliaca,-66.2931561,48.9711852
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-68.08333,48.23333
Passerella iliaca,-71.0682636,50.4211705
Passerella iliaca,-77.61667,53.78333
Passerella iliaca,-61.46667,47.61667
Passerella iliaca,-74.115,48.7946
Passerella iliaca,-65.281935,49.016921
Passerella iliaca,-61.9899273,50.220852
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-70.15,54.71667
Passerella iliaca,-64.8,48.36667
Passerella iliaca,-71.3484013,47.3202986
Passerella iliaca,-61.95,47.28333
Passerella iliaca,-67.9872179,49.7598666
Passerella iliaca,-61.746254,47.4782322
Passerella iliaca,-61.76306,47.427169
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-64.2268467,48.5333168
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-66.8048573,54.8036285
Passerella iliaca,-61.9655085,47.2396651
Passerella iliaca,-66.0116,48.96441
Passerella iliaca,-64.2,48.8
Passerella iliaca,-76.9866943,49.891538
Passerella iliaca,-64.41295,49.869664
Passerella iliaca,-61.9016129,47.4038015
Passerella iliaca,-61.7967396,47.4091178
Passerella iliaca,-76.5490437,56.5507676
Passerella iliaca,-66.05,48.93333
Passerella iliaca,-62.007758,47.237166
Passerella iliaca,-69.98333,47.31667
Passerella iliaca,-61.7838478,47.4263017
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-79.2804122,51.5115737
Passerella iliaca,-61.8839693,47.3811783
Passerella iliaca,-64.5083284,48.9221609
Passerella iliaca,-70.1138016,48.5091989
Passerella iliaca,-68.53333,48.45
Passerella iliaca,-65.51667,50.28333
Passerella iliaca,-61.9655085,47.2396651
Passerella iliaca,-76.06667,53.7
Passerella iliaca,-71.2688745,47.7309216
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-75.45,47.71667
Passerella iliaca,-64.117499,49.86366
Passerella iliaca,-61.9014359,47.3856822
Passerella iliaca,-71.034876,47.410207
Passerella iliaca,-61.982983,47.2298
Passerella iliaca,-68.5590649,48.4431235
Passerella iliaca,-71.51667,54.15
Passerella iliaca,-64.7572173,48.3510136
Passerella iliaca,-78.9710999,53.9679016
Passerella iliaca,-70.8322735,48.6019326
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-68.28333,49.31667
Passerella iliaca,-71.11583,47.35744
Passerella iliaca,-61.45,47.63333
Passerella iliaca,-74.1684418,45.3829219
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-64.89736,48.557453
Passerella iliaca,-71.1092448,47.3648962
Passerella iliaca,-78.5676098,53.7351065
Passerella iliaca,-65.6275177,48.9418963
Passerella iliaca,-69.5062923,47.9404107
Passerella iliaca,-61.7078447,47.5282713
Passerella iliaca,-71.116608,47.351589
Passerella iliaca,-61.9176579,47.3938173
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-64.159543,48.4901476
Passerella iliaca,-66.8776417,48.7777052
Passerella iliaca,-61.94635,47.32477
Passerella iliaca,-66.005913,49.011391
Passerella iliaca,-70.85,47.11667
Passerella iliaca,-65.81667,49.21667
Passerella iliaca,-68.2871204,48.5868335
Passerella iliaca,-70.4665861,46.6288371
Passerella iliaca,-61.527558,47.557772
Passerella iliaca,-65.061264,48.705147
Passerella iliaca,-71.20082,47.53805
Passerella iliaca,-71.0998,47.35087
Passerella iliaca,-61.8744,47.35855
Passerella iliaca,-74.36667,49.86667
Passerella iliaca,-66.85,48.46667
Passerella iliaca,-68.8032103,48.3546124
Passerella iliaca,-61.76306,47.427169
Passerella iliaca,-61.9655085,47.2396651
Passerella iliaca,-61.7849636,47.4081983
Passerella iliaca,-61.7069435,47.5282133
Passerella iliaca,-61.63333,51.38333
Passerella iliaca,-66.0116,48.96441
Passerella iliaca,-66.1159694,48.936639
Passerella iliaca,-61.91667,47.38333
Passerella iliaca,-70.4719019,47.8812687
Passerella iliaca,-71.45,48.33333
Passerella iliaca,-63.1782532,50.6015446
Passerella iliaca,-61.54285,47.55411
Passerella iliaca,-106.16945,54.3583
